时间,茅山头O3,茅山头CO,茅山头NO2,NO,2m温度℃,紫外线辐射J/m²,气压pa,相对湿度%,边界层高度m,风速m/s,茅山头PM2.5,茅山头SO2,CH₂O,异戊二烯,乙烷,丙烷,正丁烷,异丁烷,乙烯,丙醛,丙烯,甲苯,间、对-二甲苯,丙酮
2023-04-20 21:00:00,101,0.8,30,0.022507295,25.58340454,0,99564.25,75.07207489,428.5466309,3.190935373,32,9,3.524153802,0.103,4.413,3.863,2.751,2.657,1.544,1.865,1.488,0.427,0.372,4.087
2023-04-20 22:00:00,104,0.7,26,0.015298843,24.37939453,0,99601.4375,75.60248566,433.9912109,3.3932693,31,10,3.56803586,0.042,3.025,1.772,1.076,1.123,0.875,1.803,0.362,0.289,0.372,3.378
2023-04-20 23:00:00,106,0.7,10,0.008090391,22.80050659,0,99697.85938,76.67193604,374.4730835,2.992611647,26,10,3.611917919,0.015,2.697,1.349,0.705,0.733,1.014,1.012,0.441,0.254,0.417,2.039
2023-04-21 00:00:00,108,0.7,9,0.008293255,22.63818359,0,99678.03125,79.2853241,293.2780151,2.632598877,21,12,3.548328929,0.034,2.66,1.607,0.991,1.051,0.906,1.249,0.325,0.279,0.39,2.258
2023-04-21 01:00:00,112,0.6,9,0.008496118,21.9949646,0,99668.51563,81.78100586,201.0783691,2.242835999,19,13,3.48473994,0.037,2.557,1.247,0.841,1.018,0.523,1.276,0.238,0.292,0.298,2.626
2023-04-21 02:00:00,111,0.7,7,0.008698982,22.17114258,0,99612.40625,85.01625061,151.1268005,2.290747404,22,13,3.42115095,0.042,2.283,1.383,0.78,0.959,0.624,1.137,0.24,0.325,0.219,2.331
2023-04-21 03:00:00,106,0.6,7,0.010199964,22.08761597,0,99652.21094,87.34381866,148.6217957,2.200943947,23,12,3.346397231,0.03,2.575,1.204,0.659,0.91,0.721,1.149,0.487,0.628,0.213,2.215
2023-04-21 04:00:00,100,0.6,9,0.011700946,21.24972534,0,99691.40625,88.63280487,186.2721558,2.441655159,24,12,3.271643512,0.013,2.324,1.319,0.735,0.926,0.722,1.149,0.218,0.939,0.189,2.45
2023-04-21 05:00:00,94,0.6,10,0.013201928,21.06674194,0,99767.96875,89.04402924,246.901825,2.742044687,27,12,3.196889793,0.032,2.547,1.713,1.009,1.308,0.57,1.269,0.443,0.768,0.182,2.519
2023-04-21 06:00:00,91,0.6,8,0.641816191,22.0262146,720,99866.04688,87.78657532,329.6558838,3.558388472,29,12,3.274189036,0.157,2.591,1.406,1.064,0.985,0.708,1.156,0.318,0.765,0.206,2.674
2023-04-21 07:00:00,85,0.7,9,1.270430455,21.84429932,32288,99925.03125,87.15818787,449.3933716,4.361227512,30,10,3.351488279,0.199,2.8,1.088,1.276,1.102,0.788,1.062,0.222,0.729,0.179,2.766
2023-04-21 08:00:00,83,0.6,10,1.899044719,21.69137573,95760,100053.1797,83.98123169,567.3717041,5.264514446,29,10,3.428787522,0.13,2.675,1.311,1.047,1.166,1.022,1.07,0.374,0.604,0.146,2.531
